Name,Price,Author,Date,Publisher,Comment,sales
Spark机器学习（影印版）,46.9,彭特里思,1/1/2016,东南大学出版社,31,33978
数据挖掘：实用机器学习工具与技术（英文版·第4版）,101.9,伊恩,5/4/2017,机械工业出版社,153,70391
机器学习Web应用,,,,,,295816
数据挖掘与机器学习,47.7,吴建生,4/1/2019,人民邮电出版社,15,213599
Spark ,38.7,王晓华,3/1/2017,清华大学出版社,247,290319
Scala机器学习 ,46.6,亚历克斯·科兹洛夫,7/11/2017,机械工业出版社,183,17662
机器学习：基于OpenCV和Python的智能图像处理,,,,,,151879
决策用强化与系统性机器学习 ,62.4,巴拉格·库尔卡尼,7/1/2015,机械工业出版社,108,11321
"机器学习从认知到实践(第2辑)(套装共3册,Python+TensorFlow)",,,,,,100623
Spark ,54.5,黄美灵,3/1/2016,电子工业出版社,1078,35781
全国高等院校人工智能系列“十三五”规划教材：机器学习方法及应用 ,37.4,袁景凌,5/1/2020,中国铁道出版社,0,211930
机器学习与数据科学 ,,,,,,125410
机器学习与R语言实战,,,,,,246975
机器学习及应用(在线实验+在线自测),,,,,,129650
机器学习实践应用,,,,,,39232
百面机器学习 ,,,,,,228034
Spark机器学习 ,40.7,彭特里思,9/1/2015,人民邮电出版社,977,291884
精通Java机器学习（影印版）,85.3,Uday,10/1/2018,东南大学出版社,13,280677
机器学习案例实战,,,,,,77061
机器学习实践指南,,,,,,183873
人工智能开发实践：云端机器学习导论（英文版） ,54.5,Noah,5/10/2020,机械工业出版社,1,199434
机器学习互联网业务安全实践,,,,,,60716
机器学习系统设计：Python语言实现,,,,,,278512
Python高级数据分析：机器学习、深度学习和NLP实例 ,46.6,萨扬·穆霍帕迪亚,2/24/2019,机械工业出版社,287,245551
Python极简讲义：一本书入门数据分析与机器学习 ,96,张玉宏,5/1/2020,电子工业出版社,125,152598
机器学习实践指南：案例应用解析,,,,,,277451
Python ,53.4,龙马高新教育,8/15/2018,北京大学出版社,1006,154252
零基础学R语言数据分析:从机器学习、数据挖掘、文本挖掘到大数据分析 ,46.6,李仁钟,9/8/2018,清华大学出版社,152,172302
机器学习方法,,,,,,131850
机器学习及其应用2017,,,,,,225618
机器学习实践：测试驱动的开发方法,,,,,,95312
机器学习算法框架实战：Java和Python实现,,,,,,142397
机器学习实践指南：案例应用解析（第2版）,,,,,,84482
机器学习开发者指南,,,,,,262545
机器学习及其应用2013(仅适用PC阅读),,,,,,135993
机器学习方法在磷酸铝分子筛定向合成中的应用(仅适用PC阅读),,,,,,291003
机器学习实战：基于Sophon平台的机器学习理论与实践,,,,,,137864
"机器学习从认知到实践(第1辑)(套装共3册,Python+R)",,,,,,215095
机器学习vs复杂系统,,,,,,26132
机器学习案例分析(基于Python语言),,,,,,290551
TensorFlow机器学习项目实战 ,38.7,Rodolfo,11/1/2017,人民邮电出版社,1297,25181
同济博士论丛——基于机器学习的蛋白质相互作用与功能预测,58.4,邓磊,5/16/2018,同济大学出版社,15,124690
Python项目案例开发从入门到实战——爬虫、游戏和机器学习 ,63,郑秋生,12/5/2018,清华大学出版社,1126,178719
